benchmark,config,total_time,result,status
queries-ASN1.Low.Base-1.smt2,wopass-9999,2.009,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-1010,2.12,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-1111,2.17,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-2222,2.11,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-3333,2.15,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-4444,2.22,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-5555,2.06,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-6666,2.17,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-7777,2.05,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-8888,2.2,unsat,ok
queries-ASN1.Low.Base-2.smt2,wopass-9999,2.08,unsat,ok
queries-ASN1.Low.Base-3.smt2,wopass-1010,2.29,unknown,ok
queries-ASN1.Low.Base-3.smt2,wopass-1111,2.13,unknown,ok
queries-ASN1.Low.Base-3.smt2,wopass-2222,2.97,unknown,ok
queries-ASN1.Low.Base-3.smt2,wopass-3333,2.15,unknown,ok
queries-ASN1.Low.Base-3.smt2,wopass-4444,2.23,unknown,ok
queries-ASN1.Low.Base-3.smt2,wopass-5555,2.21,unknown,ok
